date,search_term,value
2004-01,SPSS data,6
2004-02,SPSS data,8
2004-03,SPSS data,7
2004-04,SPSS data,7
2004-05,SPSS data,6
2004-06,SPSS data,4
2004-07,SPSS data,4
2004-08,SPSS data,6
2004-09,SPSS data,6
2004-10,SPSS data,5
2004-11,SPSS data,4
2004-12,SPSS data,7
2005-01,SPSS data,5
2005-02,SPSS data,9
2005-03,SPSS data,5
2005-04,SPSS data,7
2005-05,SPSS data,5
2005-06,SPSS data,4
2005-07,SPSS data,6
2005-08,SPSS data,6
2005-09,SPSS data,6
2005-10,SPSS data,5
2005-11,SPSS data,6
2005-12,SPSS data,3
2006-01,SPSS data,6
2006-02,SPSS data,6
2006-03,SPSS data,5
2006-04,SPSS data,5
2006-05,SPSS data,5
2006-06,SPSS data,4
2006-07,SPSS data,2
2006-08,SPSS data,5
2006-09,SPSS data,4
2006-10,SPSS data,6
2006-11,SPSS data,5
2006-12,SPSS data,4
2007-01,SPSS data,5
2007-02,SPSS data,5
2007-03,SPSS data,5
2007-04,SPSS data,5
2007-05,SPSS data,4
2007-06,SPSS data,4
2007-07,SPSS data,4
2007-08,SPSS data,3
2007-09,SPSS data,3
2007-10,SPSS data,5
2007-11,SPSS data,4
2007-12,SPSS data,3
2008-01,SPSS data,4
2008-02,SPSS data,5
2008-03,SPSS data,4
2008-04,SPSS data,6
2008-05,SPSS data,4
2008-06,SPSS data,4
2008-07,SPSS data,4
2008-08,SPSS data,3
2008-09,SPSS data,4
2008-10,SPSS data,4
2008-11,SPSS data,5
2008-12,SPSS data,3
2009-01,SPSS data,4
2009-02,SPSS data,5
2009-03,SPSS data,6
2009-04,SPSS data,6
2009-05,SPSS data,4
2009-06,SPSS data,4
2009-07,SPSS data,4
2009-08,SPSS data,4
2009-09,SPSS data,4
2009-10,SPSS data,5
2009-11,SPSS data,5
2009-12,SPSS data,5
2010-01,SPSS data,5
2010-02,SPSS data,4
2010-03,SPSS data,6
2010-04,SPSS data,6
2010-05,SPSS data,5
2010-06,SPSS data,5
2010-07,SPSS data,4
2010-08,SPSS data,4
2010-09,SPSS data,4
2010-10,SPSS data,4
2010-11,SPSS data,5
2010-12,SPSS data,4
2011-01,SPSS data,4
2011-02,SPSS data,5
2011-03,SPSS data,5
2011-04,SPSS data,6
2011-05,SPSS data,6
2011-06,SPSS data,5
2011-07,SPSS data,4
2011-08,SPSS data,4
2011-09,SPSS data,4
2011-10,SPSS data,5
2011-11,SPSS data,5
2011-12,SPSS data,4
2012-01,SPSS data,5
2012-02,SPSS data,5
2012-03,SPSS data,6
2012-04,SPSS data,6
2012-05,SPSS data,6
2012-06,SPSS data,5
2012-07,SPSS data,5
2012-08,SPSS data,4
2012-09,SPSS data,5
2012-10,SPSS data,5
2012-11,SPSS data,6
2012-12,SPSS data,5
2013-01,SPSS data,5
2013-02,SPSS data,5
2013-03,SPSS data,6
2013-04,SPSS data,7
2013-05,SPSS data,7
2013-06,SPSS data,6
2013-07,SPSS data,5
2013-08,SPSS data,4
2013-09,SPSS data,5
2013-10,SPSS data,6
2013-11,SPSS data,6
2013-12,SPSS data,6
2014-01,SPSS data,5
2014-02,SPSS data,6
2014-03,SPSS data,7
2014-04,SPSS data,8
2014-05,SPSS data,7
2014-06,SPSS data,7
2014-07,SPSS data,5
2014-08,SPSS data,5
2014-09,SPSS data,5
2014-10,SPSS data,6
2014-11,SPSS data,7
2014-12,SPSS data,5
2015-01,SPSS data,6
2015-02,SPSS data,7
2015-03,SPSS data,7
2015-04,SPSS data,9
2015-05,SPSS data,7
2015-06,SPSS data,7
2015-07,SPSS data,6
2015-08,SPSS data,5
2015-09,SPSS data,5
2015-10,SPSS data,6
2015-11,SPSS data,7
2015-12,SPSS data,6
2016-01,SPSS data,6
2016-02,SPSS data,6
2016-03,SPSS data,7
2016-04,SPSS data,8
2016-05,SPSS data,8
2016-06,SPSS data,6
2016-07,SPSS data,5
2016-08,SPSS data,5
2016-09,SPSS data,5
2016-10,SPSS data,6
2016-11,SPSS data,7
2016-12,SPSS data,6
2017-01,SPSS data,5
2017-02,SPSS data,6
2017-03,SPSS data,7
2017-04,SPSS data,7
2017-05,SPSS data,7
2017-06,SPSS data,5
2017-07,SPSS data,5
2017-08,SPSS data,5
2017-09,SPSS data,4
2017-10,SPSS data,5
2017-11,SPSS data,6
2017-12,SPSS data,6
2018-01,SPSS data,5
2018-02,SPSS data,5
2018-03,SPSS data,6
2018-04,SPSS data,6
2004-01,Python data,3
2004-02,Python data,5
2004-03,Python data,3
2004-04,Python data,3
2004-05,Python data,4
2004-06,Python data,4
2004-07,Python data,4
2004-08,Python data,3
2004-09,Python data,2
2004-10,Python data,3
2004-11,Python data,2
2004-12,Python data,2
2005-01,Python data,3
2005-02,Python data,4
2005-03,Python data,2
2005-04,Python data,1
2005-05,Python data,3
2005-06,Python data,4
2005-07,Python data,3
2005-08,Python data,3
2005-09,Python data,3
2005-10,Python data,3
2005-11,Python data,2
2005-12,Python data,3
2006-01,Python data,2
2006-02,Python data,4
2006-03,Python data,2
2006-04,Python data,3
2006-05,Python data,3
2006-06,Python data,3
2006-07,Python data,3
2006-08,Python data,2
2006-09,Python data,3
2006-10,Python data,4
2006-11,Python data,2
2006-12,Python data,3
2007-01,Python data,2
2007-02,Python data,2
2007-03,Python data,2
2007-04,Python data,2
2007-05,Python data,3
2007-06,Python data,2
2007-07,Python data,2
2007-08,Python data,2
2007-09,Python data,3
2007-10,Python data,3
2007-11,Python data,3
2007-12,Python data,2
2008-01,Python data,3
2008-02,Python data,3
2008-03,Python data,2
2008-04,Python data,3
